id,id_sale,id_product,qty,total_price_product
1,1,1,1,22000
2,1,3,1,25000
3,2,1,2,44000
4,2,3,3,75000
5,3,1,2,44000
6,3,3,1,25000
7,4,1,1,22000
8,4,2,1,18000
9,4,3,2,50000
10,5,1,1,22000
11,5,2,1,18000
12,6,1,1,22000
13,7,1,1,22000
14,7,2,2,36000
15,7,3,2,50000
16,8,1,3,66000
17,8,3,2,50000
18,9,1,2,44000
19,9,3,1,25000
20,10,1,4,88000
21,11,1,2,44000
22,11,2,1,18000
23,11,3,1,25000
24,12,1,2,44000
25,12,2,1,18000
26,12,3,2,50000
27,13,1,1,22000
28,13,2,3,54000
29,14,2,3,54000
30,14,3,2,50000
31,15,1,1,22000
32,16,1,2,44000
33,16,3,2,50000
34,17,2,1,18000
35,17,3,1,25000
36,18,2,1,18000
37,19,1,1,22000
38,19,3,1,25000
39,20,1,1,22000
40,20,2,1,18000
41,20,3,1,25000
42,21,2,1,18000
43,21,3,2,50000
44,22,1,1,22000
45,22,2,1,18000
46,22,3,1,25000
47,23,1,1,22000
48,23,3,2,50000
49,24,1,2,44000
50,24,2,1,18000
51,24,3,1,25000
52,25,1,2,44000
53,26,1,2,44000
54,26,3,1,25000
55,27,2,1,18000
56,27,3,1,25000
57,28,1,3,66000
58,28,2,1,18000
59,28,3,1,25000
60,29,2,1,18000
61,29,3,4,100000
62,30,1,2,44000
63,30,2,1,18000
64,30,3,1,25000
65,31,1,2,44000
66,31,3,1,25000
67,32,1,1,22000
68,32,2,1,18000
69,33,1,1,22000
70,34,1,1,22000
71,34,2,1,18000
72,35,1,2,44000
73,35,2,1,18000
74,35,3,2,50000
75,36,1,2,44000
76,37,1,3,66000
77,37,2,1,18000
78,37,3,1,25000
79,38,3,1,25000
80,39,1,2,44000
81,39,2,1,18000
82,39,3,1,25000
83,40,2,2,36000
84,40,3,2,50000
85,41,1,1,22000
86,42,2,1,18000
87,42,3,3,75000
88,43,1,2,44000
89,43,2,2,36000
90,44,1,1,22000
91,44,2,2,36000
92,44,3,1,25000
93,45,1,1,22000
94,45,2,1,18000
95,46,2,1,18000
96,46,3,2,50000
97,47,1,3,66000
98,47,3,2,50000
99,48,1,5,110000
100,49,1,2,44000
101,49,3,1,25000
102,50,2,1,18000
103,50,3,3,75000
104,51,3,1,25000
105,52,1,1,22000
106,53,1,1,22000
107,53,2,1,18000
108,53,3,1,25000
109,54,1,2,44000
110,54,3,3,75000
111,55,1,1,22000
112,55,2,2,36000
113,56,2,1,18000
114,56,3,1,25000
115,57,1,3,66000
116,57,3,1,25000
117,58,3,1,25000
118,59,3,1,25000
119,60,1,1,22000
120,60,2,1,18000
121,60,3,2,50000
122,61,3,2,50000
123,62,1,4,88000
124,62,2,1,18000
125,63,1,1,22000
126,63,2,1,18000
