id_sale,id_user,qty_sale,date_sale,created_at,updated_at
1,1,2,2021-07-01,2023-08-06 09:08:18,2023-08-06 09:08:18
2,1,5,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
3,1,3,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
4,1,4,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
5,1,2,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
6,1,1,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
7,1,5,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
8,1,5,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
9,1,3,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
10,1,4,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
11,1,4,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
12,1,5,2021-07-01,2023-08-06 09:08:19,2023-08-06 09:08:19
13,1,4,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
14,1,5,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
15,1,1,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
16,1,4,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
17,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
18,1,1,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
19,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
20,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
21,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
22,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
23,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
24,1,4,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
25,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
26,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
27,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
28,1,5,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
29,1,5,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
30,1,4,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
31,1,3,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
32,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
33,1,1,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
34,1,2,2021-07-02,2023-08-06 09:08:19,2023-08-06 09:08:19
35,1,5,2021-07-02,2023-08-06 09:08:20,2023-08-06 09:08:20
36,1,2,2021-07-02,2023-08-06 09:08:20,2023-08-06 09:08:20
37,1,5,2021-07-02,2023-08-06 09:08:20,2023-08-06 09:08:20
38,1,1,2021-07-03,2023-08-06 09:08:20,2023-08-06 09:08:20
39,1,4,2021-07-03,2023-08-06 09:08:20,2023-08-06 09:08:20
40,1,4,2021-07-03,2023-08-06 09:08:20,2023-08-06 09:08:20
41,1,1,2021-07-03,2023-08-06 09:08:20,2023-08-06 09:08:20
42,1,4,2021-07-03,2023-08-06 09:08:20,2023-08-06 09:08:20
43,1,4,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
44,1,4,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
45,1,2,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
46,1,3,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
47,1,5,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
48,1,5,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
49,1,3,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
50,1,4,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
51,1,1,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
52,1,1,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
53,1,3,2021-07-04,2023-08-06 09:08:20,2023-08-06 09:08:20
54,1,5,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
55,1,3,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
56,1,2,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
57,1,4,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
58,1,1,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
59,1,1,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
60,1,4,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
61,1,2,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
62,1,5,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
63,1,2,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
64,1,5,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
65,1,1,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
66,1,5,2021-07-05,2023-08-06 09:08:20,2023-08-06 09:08:20
